hour,avg_turns,session_count,frac_ge2,frac_ge3
0,1.0766709983614893,53097,0.029286023692487336,0.004162193720925853
1,1.0391777696130566,51713,0.017171697638891575,0.0024558621623189526
2,1.0257971623121456,33337,0.009628940816510183,0.0018597954225035246
3,1.0110596961044929,30471,0.004200715434347412,0.0007219979652784615
4,1.0239872553482021,21970,0.002230314064633591,0.000591715976331361
5,1.069902722784377,20457,0.0031285134672728162,0.0009776604585227551
6,1.1040527640371431,11523,0.0044259307472012495,0.0016488761607220343
7,1.5314514336519227,8998,0.005890197821738164,0.003111802622805068
8,1.7755255255255256,9324,0.01126126126126126,0.0036465036465036463
9,1.2402105955906548,18234,0.044970933421081494,0.008226390259953932
10,1.2687322464373523,41893,0.05771847325328814,0.013773184064163464
11,1.1450576900202212,67256,0.049898893778993696,0.0071815154038301415
12,1.0493289020818335,101401,0.020571789232847804,0.002337255056656246
13,1.068624548522707,84445,0.03133400438155012,0.004890757297649357
14,1.121250038148137,98301,0.044078900519831946,0.007558417513555305
15,1.200274271640872,71462,0.07259802412470964,0.013181830903137333
16,1.1761770506558658,75549,0.07163562720883135,0.01274669419846722
17,1.1347468266145906,71690,0.05611661319570373,0.008913377040033477
18,1.1200446421746242,65409,0.03904661438028406,0.0056261370759375625
19,1.1098162873594735,87528,0.03213828717667489,0.0060095055296590805
20,1.1182433354252503,73298,0.04277060765641627,0.007530901252421621
21,1.1339509344293879,62284,0.05271016633485325,0.009793847537088177
22,1.1007004818917978,60387,0.044810969248348154,0.00771689270869558
23,1.1022008055235903,55616,0.04209220368239355,0.007336018411967779
