gap,n_sessions,frac_ge2_turns,frac_ge3_turns,avg_turns,avg_turns_std_over_hours
15m,1275835,0.03955919064769347,0.006843361406451461,1.1206284511711937,0.21385651725449695
30m,1275643,0.0394530444646347,0.006759728231174396,1.1207971195702873,0.16996984810704868
60m,1275568,0.039410678223348344,0.006723279354765877,1.1208630194548626,0.13011519030923882
